time,latitude,longitude
2025/03/26 22:58,85.7040299272938,58.03691710999609
2025/03/26 22:58,85.7040299272938,58.03691710999609
2025/03/26 22:58,85.69279225419483,57.998192089567446
2025/03/26 22:58,85.63372390297528,57.89499748677338
2025/03/26 22:59,85.61892737223906,57.90366897120474
2025/03/26 22:59,85.60663338507341,57.91289244282599
2025/03/26 22:59,85.60680314724274,57.9279804638842
2025/03/26 22:59,85.54016140815645,57.78419581043819
2025/03/26 22:59,85.53723254997838,57.802516874793056
2025/03/26 22:59,85.50244502650202,57.83745091727936
2025/03/26 22:59,85.50150506304024,57.84367578541505
2025/03/26 22:59,85.50061160199083,57.848872856018595
2025/03/26 22:59,85.49693092590212,57.85654741343554
2025/03/26 22:59,85.46960324285844,57.79860052699634
2025/03/26 22:59,85.46749437421842,57.867216262315836
2025/03/26 22:59,85.33023647192664,58.25740526903927
2025/03/26 22:59,85.34144597052095,58.25540846115502
2025/03/26 22:59,85.33171584707578,58.300926396170574
2025/03/26 22:59,85.34878233716239,58.31171404033242
2025/03/26 22:59,85.3389680813224,58.284162494688
2025/03/26 22:59,85.33684417632938,58.274577816843674
2025/03/26 22:59,85.3371981605349,58.248219952771784
2025/03/26 22:59,85.33472027137637,58.22665442762206
2025/03/26 22:59,85.33554623440921,58.2142742187398
2025/03/26 22:59,85.32846655109911,58.20149464828071
2025/03/26 22:59,85.32315678863655,58.19151060885953
2025/03/26 22:59,85.31879098390867,58.18671826993737
2025/03/26 22:59,85.31442517918077,58.18272465416891
2025/03/26 22:59,85.31230127422776,58.180727846284675
2025/03/26 22:59,85.31171130059857,58.17913039997728
2025/03/26 22:59,85.31147531115491,58.17833167682359
2025/03/26 22:59,85.31171130061858,58.17992912313098
2025/03/26 22:59,85.31218327948592,58.18152656943837
2025/03/26 22:59,85.3124192689496,58.18232529259206
2025/03/26 22:59,85.31241926892959,58.1835233773226
2025/03/26 22:59,85.28408621921878,57.665932646714836
2025/03/26 22:59,85.23493117895822,57.69892211552317
2025/03/26 22:59,85.24536156538043,57.70387811622174
2025/03/26 22:59,85.22494922151142,57.70735166981178
2025/03/26 22:59,85.15013685826747,57.606882022808236
2025/03/26 22:59,85.17735402452561,57.66478281255502
2025/03/26 22:59,85.23546548509088,57.94568362950246
2025/03/26 22:59,85.22895505855648,57.932622367566545
2025/03/26 22:59,85.24447727901759,57.91766919021784
2025/03/26 22:59,85.24060099090437,57.93933129647287
2025/03/26 22:59,85.2305313636257,58.003969604337826
2025/03/26 22:59,85.20269222746457,57.90675859238302
2025/03/26 22:59,85.26942357173351,57.92063582007717
2025/03/26 22:59,85.26432081170393,57.97474445591866
2025/03/26 22:59,85.2564001033815,58.006219996843114
2025/03/26 22:59,85.25465553902401,58.06404561406392
2025/03/26 22:59,85.24190726371714,58.04885591953656
2025/03/26 22:59,85.23397706090704,58.06063649441578
2025/03/26 22:59,85.22924346381208,58.071370137447744
2025/03/26 22:59,85.24731715249035,57.97522181577223
2025/03/26 22:59,85.2294061253808,57.97213821686772
2025/03/26 22:59,85.2289877934376,57.974025038020805
2025/03/26 22:59,85.22893718914504,57.97546976324601
2025/03/26 22:59,85.23636009811241,57.96038596639199
2025/03/26 22:59,85.25435256871492,57.92652388667469
2025/03/26 22:59,85.25810605942841,57.945833235785884
